question,document,answer_score,answer_reasoning,trajectory_score,trajectory_reasoning
Is the office hours video posted somewhere in Telegram or Slack before it begins?,489dd1c9d9,good,"The agent answer matches the ground truth on the key point: the video URL should be posted in the announcements channel on Telegram and Slack before it begins, and it can also be watched live on the DataTalksClub YouTube channel. It omits some extra details from the original answer (Zoom link only for instructors/presenters/TAs, Slido, and not posting questions in chat), but those are not required to answer the question asked.",good,"The single search query was relevant to the question and included the main concepts (office hours, Telegram, Slack, before begins, video posted). One search was sufficient and reasonable, and there were no unnecessary duplicate calls."
What’s the best way to begin LLM Zoomcamp and what should I read first?,04919992b3,good,"The agent answer matches the ground truth well. It correctly says to start with the LLM Zoomcamp docs, then the general Zoomcamp logistics docs, and also the GitHub repository. It also includes the typical workflow of watching videos, working through notebooks/code, reading homework instructions, and submitting via the course platform before the deadline. The extra sentence about reading GitHub homework instructions first is consistent with the original answer’s emphasis on homework instructions, so it does not introduce a contradiction.",good,"The single search query was relevant and included the key phrase about beginning LLM Zoomcamp and what to read first. One search call was reasonable for this simple FAQ-style question, and the result appears to have supported the final answer."
"If I’m starting late, can I still join the course and follow along at my own pace?",04919992b3,good,"The agent’s answer matches the core ground-truth point: you can start whenever you want and follow the course at your own pace because the materials are available. However, it adds several certificate/homework details that are not present in the original answer and may be inaccurate or unsupported relative to the FAQ response. Still, the main question is answered correctly.",good,"The search query is relevant to the question and includes the key idea of starting late and following at your own pace. Only one search was needed, and no redundant calls were made. The tool use was reasonable, though the final answer went beyond the sourced information."
"What does a normal weekly routine look like for this course — videos, notebooks, homework, then submission?",04919992b3,good,"The agent’s answer matches the ground truth closely. It includes the same typical workflow: watch videos, work through notebooks/code, read homework instructions on GitHub, and submit on the course platform before the deadline. It also correctly notes that homework may differ slightly from the lesson. The only minor difference is that it omits the explicit links to the docs and repo, but that is not necessary to answer the question.",good,"The single search query was relevant to the question and contained the core keywords about weekly routine, videos, notebooks, homework, and submission. One search is reasonable here, and no unnecessary duplicate calls were made. The tool call supports the final answer adequately."
Where do I find the deadlines and homework submission link for LLM Zoomcamp?,04919992b3,good,"The agent answer is largely correct. It identifies the course management platform as the place for deadlines and homework submission, which matches the ground truth. It also mentions GitHub homework instructions and gives a plausible workflow consistent with the original answer. It does not include the docs/logistics links from the ground truth, but the essential information is present.",good,"The single search query was relevant and contained the key terms from the question: LLM Zoomcamp, deadlines, and homework submission link. One search call is reasonable here, and the result appears to have supported the final answer. No unnecessary duplicate searches were made."
"Are the homework tasks the same as the lesson exercises, or do they use different data/tasks?",04919992b3,good,"The agent’s answer matches the ground truth. It clearly states that homework is usually not identical to the lesson exercises, but instead follows the same concepts/workflow with different data or slightly different tasks. That captures the key information from the original answer. It omits the extra logistics links and workflow details, but those were not necessary for the specific question asked.",good,"The search query was relevant and used key terms from the question (“homework tasks same as lesson exercises different data tasks”). Only one search call was made, which is reasonable for a simple FAQ-style question. The tool call supported the final answer, and there were no unnecessary or duplicate searches."
How do I find my own entry on the leaderboard if I can’t spot my name?,c2903069a0,good,"The agent’s answer matches the ground truth well. It correctly says the user is automatically assigned a random display name, and that they should click “Jump to your record on the leaderboard” to locate their entry. It also correctly mentions “Edit Course Profile” and explains the two fields: display/nickname name and official certificate name. The only minor difference is that it is slightly less specific about the example random name and the requirement that the official name is mandatory to avoid the random name on the certificate, but the key information is present.",good,"The single search query was relevant to the user’s question and included the core idea of finding one’s own leaderboard entry. One search was sufficient; there was no unnecessary duplication. The tool call reasonably supported the final answer, though it did not add much beyond what the FAQ answer already contained."
"Why am I listed under a random name on the leaderboard, and can I change it?",c2903069a0,good,"The agent’s answer matches the ground truth well. It correctly explains that the random leaderboard name is automatically assigned, gives an example, and says the user can change it via Edit Course Profile. It also correctly distinguishes the first field as the public/display name and the second field as the official legal name for the certificate. This captures the key information from the original answer, though it omits the specific instruction to click the ""Jump to your record on the leaderboard"" link and the note that changing the second field is mandatory if you don’t want the random name on the certificate. Those omissions do not materially change correctness.",good,"The single search query is relevant and includes the main concepts from the question: leaderboard, random name, and changing it. One search is reasonable for this simple FAQ-style question, and there are no unnecessary duplicate calls. The search supports the final answer adequately."
Where do I check what display name the course is using for me?,c2903069a0,good,"The agent answer matches the key point of the ground truth: you check the display name in the 'Edit Course Profile' section. It also correctly mentions the leaderboard link and that the first field is the nickname/display name. This is sufficiently aligned with the original answer, though it omits some extra detail about the official name/certificate.",good,"The single search query was relevant to the question and contained the main keywords about display name and course usage. One tool call was reasonable, and the result supported the final answer. There were no unnecessary duplicate searches."
What’s the difference between the nickname and the official name in the course profile?,c2903069a0,good,"The agent’s answer matches the ground truth. It correctly explains that the nickname/display name is the public name shown on the leaderboard and can be any nickname or anonymous, while the official name must match identification documents and is used on the certificate. This preserves the key distinctions from the original answer, even if it omits some extra setup details.",good,"The search query was relevant and contained key terms from the question (“nickname”, “official name”, “course profile”, “difference”). Only one search call was made, which is reasonable for a straightforward FAQ question. The tool call supported the final answer."
How do I make sure my certificate shows my real name instead of the default one?,c2903069a0,good,The agent answer matches the ground truth. It correctly says to use Edit Course Profile and change the second field to the official/real name that should appear on the certificate. It also correctly distinguishes the first field as the display name and the second as the certificate name. This captures the key requirement from the original answer.,good,"The single search query was relevant to the question and included important concepts like certificate, real name, default name, profile, and legal name. Only one search call was made, which is reasonable, and the tool call supported the final answer."
Can I do the course on my own time and still get a certificate at the end?,69d122f12e,good,"The agent’s answer matches the ground truth: it says you can take the course at your own pace but cannot get a certificate in self-paced mode, and that certificates require finishing with a live cohort because of the required peer-review of 3 capstones while the course is running. This preserves the key facts and the explanation.",good,"The search query was relevant to the question and included key concepts like self-paced, certificate, and FAQ. Only one search call was needed, and it supported the final answer without unnecessary repetition."
Is there any way to get a certificate if I’m not joining a live cohort?,69d122f12e,good,"The agent answer matches the ground truth. It clearly states that certificates are only available for students who finish with a live cohort, and that self-paced participants do not receive certificates because peer review is required while the course is running. This contains the key information from the original answer, though it omits the specific detail about peer-reviewing 3 capstones and the form closing after the peer-review list is compiled. Those omissions do not change correctness.",good,"The search query was relevant and included the main concepts from the question: certificate, live cohort, self-paced, and FAQ. One search call was sufficient for this straightforward question, and there were no unnecessary duplicate calls. The tool use reasonably supported the final answer."
Why don’t you give certificates for the self-paced version of the course?,69d122f12e,good,"The agent answer matches the ground truth. It correctly says certificates are not awarded for the self-paced version, explains that a certificate requires peer-reviewing 3 capstone projects, and notes that this can only be done while the course is running live with a cohort because the review form closes afterward. This contains the key information from the original answer.",good,"The tool use was reasonable. The search query directly targeted the certificate/self-paced question and included the relevant keywords. Only one search was needed, and it supported the final answer without unnecessary extra calls."
Do I need to participate while the course is running in order to qualify for the certificate?,69d122f12e,good,"The agent’s answer matches the ground truth on the core requirement: certificate eligibility requires finishing with the live cohort, not self-paced, because peer review is only available while the course is running. One minor issue is that it starts with ""Yes"" to a yes/no question whose correct answer is effectively ""No, not in self-paced mode,"" but the rest of the explanation is correct and includes the essential conditions.",good,"The single search query was relevant and used key phrases from the question. Only one search call was made, which is reasonable here. There were no unnecessary or duplicate tool calls, and the search supported the final answer."
"Is peer review required for the certificate, and can I do it after the course ends?",69d122f12e,good,"The agent’s answer matches the key points from the ground truth: peer review is required, it involves 3 capstone projects, it must be done while the course is running, and it cannot be completed after the course ends. The original answer also mentions that certificates are only awarded for the live cohort and not the self-paced mode; the agent implies this via ineligibility after the course ends, though it does not explicitly mention the self-paced limitation. Overall, the substance is correct.",good,"The search query was relevant to the user’s question and included the main concepts: peer review, certificate, and after course ends. Only one search was needed, and there were no redundant or unnecessary calls. The tool use reasonably supported the final answer."
Do I still get the certificate if I skipped the first homework?,9f689c185f,good,"The agent’s answer matches the ground truth. It correctly states that skipping the first homework does not prevent receiving the certificate, and that passing the Capstone project is what matters. It also correctly notes that homework is not mandatory, only recommended, and that homework points affect leaderboard rank.",good,"The search query was relevant to the question and included key terms like certificate and homework requirement. Only one search call was used, which is reasonable for this straightforward FAQ-style question. The tool call supported the final answer."
Is the capstone project the only thing I need to pass for the certificate?,9f689c185f,bad,"The agent answer does not match the ground truth. The original answer says the capstone project is the required item for the certificate, and homework is not mandatory. The agent added extra requirements about submitting while the course is running and peer-reviewing 3 other capstone projects, which are not present in the ground truth and change the meaning of the answer. It did correctly state that homework is not mandatory, but overall the answer is incorrect relative to the provided FAQ answer.",good,"The single search query was relevant and used key terms from the question. One tool call is reasonable. However, the search did not appear to support the final answer, since the agent introduced unsupported requirements not reflected in the ground truth."
Are homework assignments required to finish the course and get certified?,9f689c185f,good,"The agent answer matches the ground truth. It correctly says homework is not required, the Capstone project must be passed to get the certificate, and homework is optional/recommended and affects leaderboard rank. This contains the key information from the original answer.",good,"The single search query was directly relevant and included key terms from the question. One search was sufficient, and there were no unnecessary duplicate calls. The tool use reasonably supported the final answer."
"If homework is optional, does it still matter for anything in the course?",9f689c185f,bad,"The agent answer does not match the ground truth. The correct answer should state that homework is not mandatory but recommended, and that homework points count toward leaderboard rank; it should also note that passing the Capstone project is required to get the certificate. The agent instead gives a vague response about homework being useful for practice and staying on track, and it omits the certificate/Capstone and leaderboard details. So the answer is incomplete and partly incorrect.",bad,"The single search query is somewhat related to optional homework and whether it matters, but it is too generic and does not include the key course-specific keywords from the question/FAQ such as homework, leaderboard, certificate, or Capstone. One search call is reasonable, but it did not effectively target the needed information and there were no refinements."
Can I miss the early homework and still be eligible for the certificate?,9f689c185f,good,"The agent’s answer matches the ground truth: it correctly says homework is not mandatory, passing the Capstone project is required for the certificate, and homework points only affect leaderboard rank. This preserves the key information from the original answer.",good,"The single search query was relevant to the question and included core terms about homework and certificate eligibility. One search call was sufficient, with no unnecessary repetition."
Why does this homework keep changing every time I check it?,96286b4be4,good,"The agent answer matches the ground truth. It correctly explains that `[DRAFT]` means the homework is not ready yet, that it is only final when the form is open and the title does not contain `[DRAFT]`, and that changes can still happen until then. It also includes the warning that working early is at your own risk, which aligns with the original answer.",good,"The single search query is relevant to the user’s question and reasonably targeted. Only one tool call was needed, and there were no unnecessary duplicates or irrelevant searches. The tool use was reasonable for the task."
What does [DRAFT] in the homework title mean?,96286b4be4,good,"The agent’s answer matches the ground truth. It correctly says that [DRAFT] means the homework is not ready yet, and that it is only ready when the form is open and the title no longer contains [DRAFT]. It also includes the warning that content may still change and early work is at the student’s own risk. This preserves the key information from the original answer.",good,"The tool call was reasonable and relevant. The search query included the key term [DRAFT] and the topic of homework title meaning. Only one search was needed, and there were no unnecessary or duplicate calls."
How can I tell if the homework is actually ready and final?,96286b4be4,good,"The agent’s answer matches the ground truth. It includes the two required conditions for readiness: the homework form must be open, and the title must not contain [DRAFT]. It also correctly explains that if [DRAFT] is present, the homework is not final yet and the content may still change, with early work being at the student’s own risk.",good,"The single search query was relevant to the user’s question and included key ideas like homework readiness and final status. One search call is reasonable here, and there were no unnecessary or duplicate tool calls. The search supported the final answer appropriately."
Can I start doing the assignment before the homework form is open?,96286b4be4,good,"The agent answer matches the ground truth. It correctly states that the homework is only ready when the form is open and the title does not contain [DRAFT], and that working ahead is at the student's own risk because the content may change. This captures the key information from the original answer.",good,"The search query was relevant to the question and included key terms about starting the assignment before the homework form is open. Only one search call was needed, which is reasonable for this straightforward FAQ-style question. The tool call supported the final answer."
"Is it safe to work on draft homework, or can the questions still change later?",96286b4be4,good,"The agent answer matches the ground truth closely. It correctly states that a homework with '[DRAFT]' is not ready, that readiness requires both the form being open and the title not containing '[DRAFT]', and that working on it early is at the student's own risk because content may change.",good,"The single search query was relevant and included key terms from the question ('draft homework', 'questions can still change later'). One search call was sufficient, and the result supported the final answer."
When is the next time this course will be offered?,bd31146b0e,good,The agent answer matches the ground truth exactly in meaning and content: it states the next offering is Summer 2027. No missing or incorrect information.,good,"The single search query is relevant to the question about when the course will next be offered. While somewhat generic, it includes the key idea of next offering/schedule and only one search call was made, which is reasonable. The tool use supported the final answer."
Do you know when llm-zoomcamp is scheduled again?,bd31146b0e,good,The agent’s answer matches the ground truth exactly in meaning: it says the next LLM Zoomcamp will be offered in summer 2027. No conflicting information is present.,good,"The search query was relevant to the question and included key terms like 'llm-zoomcamp', 'scheduled again', and 'next cohort'. Only one search call was made, which is reasonable for this simple factual lookup. The tool call supports the final answer."
Is there a date for the next course run?,bd31146b0e,good,The agent answer matches the ground truth exactly in substance: it states that the next course run is Summer 2027. This preserves the key information asked for in the question.,good,"The single search query is relevant and directly targets the asked information about the next course run date. One search is sufficient here, and there were no unnecessary or duplicate tool calls."
When can I expect this course to open next?,bd31146b0e,good,The agent answer matches the ground truth exactly in meaning and key detail: the next opening is Summer 2027.,good,The single search query directly restated the user's question and was sufficient to retrieve the answer. One call was reasonable and not excessive.
What’s the next offering of the course?,bd31146b0e,good,The agent’s answer exactly matches the ground truth: it states that the next offering of the course is Summer 2027. No missing or conflicting information.,good,"The search query was relevant to the question and included key intent words like 'next offering' and 'course'. Only one search call was made, which is reasonable for this straightforward factual question. The tool call supports the final answer."
Where can I find the course lectures or videos for LLM Zoomcamp?,31456f4b5f,good,"The agent answer matches the ground truth: it points to the LLM Zoomcamp GitHub repository, says to open the lesson folders, notes that each lesson page links the relevant videos at the top, and mentions the repo is the best starting point because it is more reliably updated than the YouTube playlist. This contains the key information from the original answer.",good,"The single search query was relevant and included the main keywords from the question (LLM Zoomcamp, lectures, videos). One search call is reasonable here, and the result supports the final answer. There were no unnecessary or duplicate tool calls."
Is there a main page or repo I should start from to access the lesson videos?,31456f4b5f,good,"The agent’s answer matches the ground truth. It correctly identifies the LLM Zoomcamp GitHub repository as the main entry point, notes that lesson folders contain the relevant video links at the top, and mentions that the repo is the most up-to-date source. This captures the key information from the original answer.",good,"The single search query was relevant to the question and reasonably concise. It did not include the exact repo name, but it was still on-topic, and one search call is appropriate here. No unnecessary duplicate calls were made, and the tool use supported the final answer."
I’m looking for the videos for each lesson — where are they linked?,31456f4b5f,good,"The agent’s answer matches the ground truth. It correctly says the lesson videos are linked at the top of each lesson page in the LLM Zoomcamp GitHub repository, provides the repo link, and notes that the GitHub repo is the preferred entry point over the YouTube playlist because it is easier to keep updated. This preserves the key information from the original answer.",good,"The single search query was relevant to the user’s question and included the core terms about lesson videos and where they are linked. One search call was sufficient, and there were no unnecessary or duplicate tool calls."
Should I use the GitHub repo or the YouTube playlist to find the course videos?,31456f4b5f,good,"The agent’s answer matches the ground truth. It correctly says to use the GitHub repo as the main entry point, mentions opening the lesson folders where videos are linked, and notes that the repo is easier to keep updated than the YouTube playlist.",good,"The single search query was relevant to the question and included key terms like GitHub repo, YouTube playlist, course videos, and FAQ. One search was sufficient, and the tool call supported the final answer."
What’s the easiest way to get to the lectures without missing updates?,31456f4b5f,good,"The agent answer matches the ground truth key points: use the LLM Zoomcamp GitHub repository as the main entry point, open the lesson folders, and rely on the GitHub repo first because it is easier to keep updated than the YouTube playlist. It preserves the essential guidance without needing the image reference.",good,"The single search query was directly relevant to the question and used important keywords from it. One search call is reasonable here, and there were no unnecessary duplicate calls. The tool use supported the final answer."
