question,document,score,reasoning
Why does this homework keep changing every time I check it?,96286b4be4,good,"The AI answer preserves the key conditions: [DRAFT] means not ready, the homework is only ready when the form is open and the title lacks [DRAFT], and changes can occur until then. It also includes the warning that working in advance is at your own risk. Semantically equivalent to the ground truth."
What does [DRAFT] in the homework title mean?,96286b4be4,good,"The AI answer correctly states that [DRAFT] means the homework is not ready yet and mentions that the content can still change until the form is open and the title no longer contains [DRAFT]. This matches the key points of the ground truth, though it omits the explicit warning that working in advance is at your own risk. That omission does not change the core meaning."
How can I tell if the homework is actually ready and final?,96286b4be4,good,"The AI answer captures the key criteria for readiness: the form must be open and the title must not contain [DRAFT]. It also correctly notes that if either condition is not met, the content can still change. This is semantically equivalent to the ground truth, though it omits the extra caution that working in advance is at your own risk. That omission does not change the core answer."
Can I start doing the assignment before the homework form is open?,96286b4be4,good,"The AI answer preserves the key points: you may start working in advance, but the homework is officially ready only when the form is open and the title lacks [DRAFT]. It also correctly notes that content may change and that working ahead is at your own risk."
"Is it safe to work on draft homework, or can the questions still change later?",96286b4be4,good,"The AI answer matches the ground truth. It correctly states that draft homework is not ready, that the title containing [DRAFT] indicates this, that readiness requires both the form being open and the title no longer containing [DRAFT], and that working on it early is at the student's own risk because questions may still change."
When is the next time this course will be offered?,bd31146b0e,good,The AI answer exactly matches the ground truth and conveys the same information: the course will next be offered in Summer 2027.
Do you know when llm-zoomcamp is scheduled again?,bd31146b0e,bad,"The ground truth states the schedule is Summer 2027. The AI answer says 'I don't know,' which does not convey the correct scheduling information and misses the key point."
Is there a date for the next course run?,bd31146b0e,good,The AI answer exactly matches the ground truth and conveys the next course run date as Summer 2027.
When can I expect this course to open next?,bd31146b0e,good,The AI answer matches the ground truth exactly: the course is expected to open in Summer 2027.
What’s the next offering of the course?,bd31146b0e,good,The AI answer exactly matches the ground truth and conveys the same information: the next offering is Summer 2027.
Where can I find the course lectures or videos for LLM Zoomcamp?,31456f4b5f,good,"The AI answer conveys the same guidance as the ground truth: use the LLM Zoomcamp GitHub repository as the main entry point, open the lesson folders, find videos linked at the top of each lesson page, and prefer the repo over the YouTube playlist because it is more up to date. This is semantically equivalent."
Is there a main page or repo I should start from to access the lesson videos?,31456f4b5f,good,"The AI answer matches the ground truth: it identifies the LLM Zoomcamp GitHub repository as the main entry point, says to open lesson folders where videos are linked at the top, and notes that the GitHub repo is more up to date than the YouTube playlist. Semantically equivalent."
I’m looking for the videos for each lesson — where are they linked?,31456f4b5f,good,"The AI answer matches the ground truth: it points to the LLM Zoomcamp GitHub repository, says to open the lesson folders, and notes that the videos are linked near the top of each lesson page. It omits the extra note about the repo being easier to keep updated than the YouTube playlist, but that is supplementary, not core to the answer."
Should I use the GitHub repo or the YouTube playlist to find the course videos?,31456f4b5f,good,"The AI answer conveys the same key guidance as the ground truth: use the LLM Zoomcamp GitHub repository as the main entry point, find videos linked on each lesson page, and prefer it over the YouTube playlist because it is easier to keep updated. This is semantically equivalent."
What’s the easiest way to get to the lectures without missing updates?,31456f4b5f,good,"The AI answer matches the ground truth: it identifies the LLM Zoomcamp GitHub repository as the main entry point, explains that lesson folders contain the relevant videos at the top, and notes that the repo is easier to keep updated than the YouTube playlist. This preserves the key guidance about avoiding missed updates."
"Where should I check the LLM Zoomcamp syllabus, homework deadlines, and my progress for the current cohort?",20c5a1347e,good,"The AI answer matches the ground truth: it points to the LLM Zoomcamp course management platform and states that it contains the current cohort structure, homework, deadlines, and progress tracking. No key information is missing or incorrect."
Is there one place to follow the course structure and keep track of assignments in LLM Zoomcamp?,20c5a1347e,good,"The AI answer conveys the same core information as the ground truth: there is a course management platform for LLM Zoomcamp, and it is the place to follow the course structure, homework, deadlines, and progress tracking. It also includes the correct link. No key information is missing or incorrect."
"What website do we use for LLM Zoomcamp to see deadlines, homework, and cohort progress?",20c5a1347e,good,"The AI answer provides the correct website and identifies it as the LLM Zoomcamp course management platform. Although it omits some extra details about what the platform contains, it preserves the key information asked for: the website to use for deadlines, homework, and cohort progress."
How can I monitor my progress and find the current homework schedule for this zoomcamp?,20c5a1347e,good,"The AI answer matches the ground truth: it points to the LLM Zoomcamp course management platform and correctly states that it includes cohort structure, homework, deadlines, and progress tracking. No key information is missing or incorrect."
Where is the official course platform for tracking the syllabus and deadlines in LLM Zoomcamp?,20c5a1347e,good,"The AI answer correctly identifies the official LLM Zoomcamp course management platform and provides the correct URL. It matches the key information from the ground truth, though it omits the extra note about cohort structure, homework, deadlines, and progress tracking. That omission does not affect correctness for the question asked."
Do we get live classes or office hours for every module in LLM Zoomcamp?,d65e05bd7a,good,"The AI answer matches the ground truth: it says there are no separate live sessions or office hours for every module by default, that materials are pre-recorded in the repo, live sessions are announced separately, Slack is the place to ask questions, and AI Shipping Labs offers optional paid support with regular Zoom office hours. This preserves the key meaning accurately."
"Are the module lessons recorded, or are there separate live sessions for each one?",d65e05bd7a,good,"The AI answer conveys the core points: module materials are pre-recorded in the course repo, and there are no separate live sessions for each module by default; live sessions are announced separately. It omits the extra guidance about Slack, asking questions, and optional AI Shipping Labs, but those are supplementary and not necessary to answer the question."
"If I get stuck on a module, where should I ask for help in the course?",d65e05bd7a,good,"The AI answer correctly identifies Slack as the place to ask for help and mentions following the asking questions guidelines. It adds a helpful detail about including text instead of screenshots, which is compatible with the original. It does not mention optional AI Shipping Labs or the note about live sessions, but those are extra details, not the core answer to where to ask for help."
Is there any extra paid option with Zoom office hours for this course?,d65e05bd7a,good,"The AI answer captures the key point: there is an optional paid support option, AI Shipping Labs, which includes regular Zoom office hours, and the course content remains free. This matches the ground truth sufficiently, even though it omits some details about live sessions being announced separately and asking questions in Slack."
"Are live sessions part of the free course, or only announced sometimes?",d65e05bd7a,good,"The AI answer matches the ground truth: it states that live sessions are not included by default, materials are pre-recorded in the repo, live sessions are announced separately, and the course remains free with optional paid extra support. It omits the Slack/questions guideline and the specific AI Shipping Labs details, but those are additional support information rather than the core answer to the question."
Can I count my Bluesky posts toward the learning in public credits for this course?,dbf5369006,good,The AI answer matches the ground truth exactly in meaning: it confirms that Bluesky posts can count toward learning in public credits for the course. No key information is missing or altered.
"Are Bluesky posts accepted for the learning in public requirement, or do they not count?",dbf5369006,good,The AI answer matches the ground truth: it clearly states that Bluesky posts are accepted for the learning in public requirement. No incorrect information or missing key point.
"If I share my progress on Bluesky, can that be used as learning in public credit?",dbf5369006,good,The AI answer exactly matches the ground truth and conveys the same meaning: Bluesky posts can be used for learning in public credits.
Does this course allow Bluesky activity to be included in learning in public credits?,dbf5369006,good,The AI answer matches the ground truth exactly in meaning: it states that Bluesky posts can be used for learning in public credits. No discrepancy or missing key point.
Can posts I make on Bluesky qualify for the public learning credits in the course?,dbf5369006,good,The AI answer matches the ground truth exactly in meaning: it confirms that Bluesky posts can qualify for learning in public credits.
What’s the Telegram channel for LLM Zoomcamp?,054f3fd58f,good,"The AI answer correctly provides the Telegram channel URL for LLM Zoomcamp. It matches the key information from the ground truth, and although it omits the extra note about using Slack for technical discussion, that omission does not affect the answer to the question asked."
Can you share the link to the course Telegram group?,054f3fd58f,good,"The AI answer correctly provides the Telegram channel link and matches the key information in the ground truth. It omits the note about using Telegram for announcements and Slack for technical discussion, but the question only asked for the link, so this is still semantically equivalent."
Where should I go for LLM Zoomcamp announcements on Telegram?,054f3fd58f,good,"The AI answer matches the ground truth: it provides the correct Telegram channel link and correctly states it is for announcements, with Slack for technical discussion/questions. Semantically equivalent."
"Is there a Telegram channel for this course, and what is it used for?",054f3fd58f,good,"The AI answer matches the ground truth exactly in meaning: it provides the Telegram channel link and states it is for announcements, while directing technical discussion and questions to Slack. No key information is missing or incorrect."
Should I use Telegram or Slack for LLM Zoomcamp questions and updates?,054f3fd58f,good,"The AI answer matches the ground truth: Telegram is for announcements and Slack is for technical discussion/questions. It preserves the core guidance, though it omits the Telegram channel link, which is not required for semantic equivalence."
Why does the FAQ dataset have a different number of records than what I see in the course videos?,e2d595f23c,good,"The AI answer conveys the same core explanation: the FAQ dataset is live, changes over time, and the videos were recorded in May 2026 so the record count may differ when running the code later. This matches the ground truth with no substantive errors or omissions."
I’m getting a different count in the FAQ data than the lecture shows — is the dataset updated over time?,e2d595f23c,good,"The AI answer preserves the key points from the ground truth: the FAQ data comes from a live dataset that changes over time, the count can differ because questions are added/removed, and the lectures were recorded in May 2026. This is semantically equivalent to the original answer."
Why don’t the records in the live FAQ dataset match the number shown in the May 2026 videos?,e2d595f23c,good,"The AI answer preserves the core explanation: the FAQ dataset is live, changes over time, and the May 2026 videos reflect an earlier snapshot, so current counts may differ. This is semantically equivalent to the ground truth."
"Did the FAQ dataset change after the videos were recorded, or am I doing something wrong?",e2d595f23c,good,"The AI answer matches the ground truth: it says the dataset is live and changes over time, mentions new questions and deletions, notes the videos were recorded in May 2026, and explains that differing counts are expected rather than due to user error. This is semantically equivalent."
Why am I seeing a different number of questions in the FAQ data when I run the code now?,e2d595f23c,good,"The AI answer preserves the key explanation: the FAQ dataset is live and changes over time, causing the question count to differ from the recorded videos, which were made in May 2026. This is semantically equivalent to the ground truth."
Can I still turn in homework if the deadline already passed but the form is still open?,a9353fadfe,good,"The AI answer matches the ground truth: it says submissions are allowed if the form is still open even after the deadline, and only become impossible once the form is closed. Core meaning is preserved."
"Does the course stop accepting submissions right after the deadline, or only when the form closes?",a9353fadfe,good,"The AI answer matches the ground truth: submissions remain accepted while the form is open, even past the deadline, and stop only when the form closes."
The homework form is still available after the due date — is it okay to submit now?,a9353fadfe,good,"The AI answer preserves the key point: submissions are allowed after the due date as long as the form remains open, and not after it closes. This is semantically equivalent to the original."
"If I missed the deadline, can I still send my answers as long as the submission page hasn’t closed yet?",a9353fadfe,good,"The AI answer preserves the key point exactly: late submissions are allowed while the submission page/form remains open, and submissions stop only after it closes. This is semantically equivalent to the ground truth."
When does homework submission actually become unavailable: after the deadline or after the form is closed?,a9353fadfe,good,"The AI answer matches the ground truth: submission remains possible after the deadline as long as the form is open, and becomes unavailable only once the form is closed. It conveys the key point correctly."
Can I still turn in homework after the deadline if the form hasn't closed yet?,cdc3b285e5,good,"The AI answer correctly states that homework can still be submitted after the deadline if the form remains open, and that submissions are impossible once the form closes. However, it omits the additional clarification from the ground truth that no individual deadline extensions are given and, more importantly, that missing homework does not affect the certificate because homework is optional and only the Capstone project is required. Since the key question is about late submission while the form is open, the core answer matches semantically."
Do you ever grant individual deadline extensions for homework submissions?,cdc3b285e5,good,"The AI answer correctly states that no individual deadline extensions are given and that late submissions are not accepted once the form is closed. However, it omits the additional clarification that submissions are still allowed while the form remains open even after the listed deadline passes, and it leaves out the note that homework is not required for the certificate and only affects leaderboard rank. Since the main question is about extensions, the core answer is present, so this is semantically equivalent."
What happens if I miss a homework deadline entirely and the submission form is already closed?,cdc3b285e5,bad,"The AI answer does not convey the ground truth at all. The correct response explains that once the homework form is closed, late submissions are not accepted, no individual extensions are given, and missing homework does not affect the certificate because only the Capstone project is mandatory. Saying 'I don't know' misses all of this key information."
"Will skipping a homework affect my certificate, or is homework optional?",cdc3b285e5,good,"The AI answer preserves the key point that homework does not affect the certificate and that only the Capstone project is required. It also correctly states that homework points only count toward leaderboard rank. However, it omits the important nuance about no individual deadline extensions and no late submissions after the form closes, which is part of the original answer but not the central question. Since the core answer matches, it is semantically equivalent."
"Do homework scores matter for the certificate, or are they only used for the leaderboard?",cdc3b285e5,good,"The AI answer correctly states the key point: homework scores do not affect the certificate and are only for the leaderboard, and that passing the Capstone project is required for the certificate. It omits the extra details about late submissions and deadline extensions, but those are not necessary to answer the question asked."
"If I type my real name in the certificate name field, will it be visible to everyone online or passed to third parties?",651ba06b34,good,"The AI answer preserves the key point: the certificate name is not publicly visible or shared with third parties, and the leaderboard uses a separate display name. It omits the extra detail about the nickname being random by default and the specific 'Edit Course Profile' fields, but that is not necessary for correctness."
What name shows up on the public leaderboard if I set a different name for the certificate?,651ba06b34,good,"The AI answer correctly states that the public leaderboard uses the separate display name/nickname rather than the certificate name, and mentions the default random nickname example. It omits some extra details about Edit Course Profile and certificate privacy, but those are not required for semantic equivalence."
Is the certificate name separate from the display name used on the leaderboard?,651ba06b34,good,"The AI answer matches the key idea that the certificate name and leaderboard display name are separate, and it correctly notes that both can be set in Edit Course Profile. It omits some extra details from the ground truth (anonymous by default, not shared publicly), but those are not necessary for semantic equivalence. However, it says 'Yes' to the question in a way that could be slightly misleading because the ground truth begins by saying 'No' to the exact phrasing 'Is the certificate name separate from the display name used on the leaderboard?' while then explaining they are separate fields. The intended meaning is still conveyed correctly overall."
Where do I change the public nickname and the name that gets printed on the certificate?,651ba06b34,good,"The AI answer correctly identifies 'Edit Course Profile' and accurately maps the first field to the public nickname/display name and the second to the certificate name. It conveys the same key information as the ground truth, though it omits the extra reassurance about privacy and leaderboard anonymity, which is not essential to the question."
Can I keep my real name off the leaderboard but still use it on the certificate?,651ba06b34,good,"The AI answer conveys the same core information as the ground truth: the leaderboard uses a separate public nickname, the certificate can use the official/real name, and the certificate name is not published online. It also correctly identifies the two fields in Edit Course Profile. The only slight issue is it starts with “Yes,” while the original answer starts with “No” to the specific phrasing of the question, but semantically it explains the same setup and is effectively correct."
Why doesn’t this course start with LangChain right away?,b7cdde6b25,good,"The AI answer matches the ground truth: it explains that the course starts with core RAG building blocks (prompting, retrieval, indexing, evaluation) before introducing LangChain, and uses the same HTML/CSS/JavaScript before React/Angular analogy. No key information is missing or altered."
What is the reason for building the LLM app parts manually instead of using a framework?,b7cdde6b25,good,"The AI answer conveys the same key idea as the original: the course builds the core LLM app components manually first (prompting, retrieval, indexing, evaluation) so learners understand them before using a framework like LangChain. It also preserves the analogy that frameworks are easier to use after understanding what they automate. No important information is missing or incorrect."
"Is LangChain not allowed in the course, or is it just skipped at first?",b7cdde6b25,good,"The AI answer matches the ground truth: it says LangChain is not forbidden, just skipped at the start, and that the course first covers prompting, retrieval, indexing, and evaluation before frameworks. It preserves the key analogy that frameworks come after understanding core pieces."
"What do we gain by learning prompting, retrieval, indexing, and evaluation before a framework?",b7cdde6b25,good,"The AI answer preserves the core meaning of the ground truth: learning the underlying building blocks first gives a better understanding of what frameworks automate and makes later framework use easier, with the same analogy to HTML/CSS/JavaScript before React/Angular. It is semantically equivalent."
Why is it better to understand the core pieces before using something like LangChain?,b7cdde6b25,good,"The AI answer preserves the key idea: understand prompting, retrieval, indexing, and evaluation before using LangChain because the framework automates those pieces, and it uses the same analogy to React/Angular. This is semantically equivalent to the ground truth."
Why am I getting an OpenAI API Error: Insufficient credits when I run responses.create?,f5df151c59,good,"The AI answer correctly identifies the cause as insufficient credits/quota in the OpenAI API account when using responses.create. It also includes compatible context about adding credits. Although it adds extra suggestions not present in the ground truth, the core explanation matches."
Does the responses.create command fail if my OpenAI account has no credits left?,f5df151c59,good,"The AI answer preserves the key point from the ground truth: `responses.create` may fail when the account has insufficient credits, and it names the same error condition. This is semantically equivalent, though it omits the exact error string formatting. That omission does not change correctness."
What does the insufficient credits error mean in OpenAI responses.create?,f5df151c59,good,The AI answer matches the ground truth: it explains that the error occurs due to insufficient credits in the OpenAI account and reproduces the same error message. The extra note about adding credits and model availability is acceptable and does not contradict the original.
How can I fix the OpenAI Error: Insufficient credits while using responses.create?,f5df151c59,good,"The ground truth says the error occurs due to insufficient credits in the OpenAI account. The AI answer correctly states that the fix is to add credits to the OpenAI billing account, which preserves the core meaning. It includes extra suggestions and an OpenRouter note, but those do not contradict the main answer."
Is there a credit issue behind the OpenAI responses.create command error?,f5df151c59,good,"The AI answer correctly states that the `responses.create` error can be caused by insufficient credits and matches the example error message. It adds extra detail about quota/billing and recreating the API key, which does not contradict the ground truth. The core answer is semantically equivalent."
Why am I getting a 429 RateLimitError from the OpenAI API even though my code looks fine?,152af39a53,good,"The AI answer captures the key point: a 429 RateLimitError can be caused by OpenAI billing/quota limits rather than bad code, and it recommends adding credits, checking model availability, and possibly recreating the API key. This is semantically equivalent to the ground truth, though less specific about no free usage and the $5 minimum."
What does the message about exceeding quota or insufficient_quota actually mean for my OpenAI account?,152af39a53,good,"The AI answer matches the ground truth: it explains that 'insufficient_quota' means the OpenAI API account has no usable quota/credits and that billing needs to be enabled or credits added. It also correctly notes that it is not a code issue and mentions possibly recreating the API key. The only minor difference is that it generalizes the billing explanation, but it preserves the core meaning and resolution steps."
"Do I need to add money to my OpenAI account to make API requests work, and how much is the minimum?",152af39a53,good,"The AI answer captures the core point from the ground truth: OpenAI API usage requires adding funds, and the minimum is $5. It also adds an extra suggestion about alternatives, which does not contradict the original. It omits the troubleshooting details about quota errors, model selection, and recreating API keys, but those are not necessary to answer the specific question asked."
"After I add credits, do I also need to change the model name in responses.create or make a new API key?",152af39a53,bad,"The ground truth explains that the error is due to insufficient API quota, and after adding credits you should retry with a valid available model; you may also need to recreate/update the API key. The AI answer says only 'I don't know,' which does not convey any of the required information and misses the key point entirely."
Where can I check my billing settings and what should I do first to fix this error?,152af39a53,good,"The AI answer correctly identifies where to check billing settings and the first step to resolve the quota error: add credits (pay-as-you-go, minimum $5) and rerun the command. It omits some extra details from the ground truth such as recreating the API key and choosing an available model, but those are not required for the core answer to the question."
How much money do I need to spend to start using the OpenAI API for this course?,554d0eb78b,good,"The AI answer matches the ground truth: it says the API should cost very little, mentions recharging starting from $5, and notes initial usage is usually fractions of a cent. This is semantically equivalent."
"Is it okay to begin with just a small balance on OpenAI, like a few dollars?",554d0eb78b,good,"The ground truth says that starting with a small balance is okay because course usage costs very little, and you can recharge starting from $5; initial usage is usually fractions of a cent. The AI answer says a small balance is fine if there are enough credits and mentions insufficient credits, but it misses the specific point that recharges can start from $5 and that usage is typically fractions of a cent. It still conveys the main idea that a small balance is sufficient, so it is semantically close, though less complete."
Roughly how expensive is OpenAI API usage in the course exercises?,554d0eb78b,good,"The AI answer matches the ground truth in meaning: it says the course should cost very little, mentions a $5 minimum recharge, and that initial usage is usually fractions of one cent. This is semantically equivalent."
"Do I need to pay a lot upfront for the OpenAI API, or is it cheap to test with?",554d0eb78b,good,"The AI answer conveys the same core information as the ground truth: the OpenAI API should cost very little, recharges can start from $5, and initial usage is fractions of a cent. The extra note about alternatives does not contradict the original and is acceptable."
"What’s the minimum I should recharge on OpenAI, and will course usage burn through it fast?",554d0eb78b,good,"The AI answer preserves the key points from the ground truth: minimum recharge is $5, and course usage is very low, typically fractions of a cent, so it should not burn through quickly. This is semantically equivalent."
"Do I need to pay for the OpenAI API to finish the llm-zoomcamp homework, or are there free options I can use instead?",85384a18e5,good,"The AI answer matches the ground truth: it says payment for the OpenAI API is not required, and that free or low-cost alternatives can be used instead. It also adds that models can be run locally, which is compatible with the original answer's mention of alternatives in the course repo. The key point is preserved."
