question,answer_agent,answer_orig,tool_calls,cost,document
"If homework is optional, does it still matter for anything in the course?","Yes — even if homework is optional, it can still matter.

From the course FAQ, homework is part of the course materials and the GitHub instructions often contain important extra context. Also, the homework submission platform is useful for deadlines and submissions. So while it may not be required, it’s still a good way to practice and stay on track with the course.

If you want, I can also help you find the specific FAQ about homework grading or completion requirements.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""optional homework matter for course grade participation FAQ""}'}]",0.00131475,9f689c185f
Can I miss the early homework and still be eligible for the certificate?,"Yes — you can miss the early homework and still be eligible for the certificate.

According to the FAQ, homework is **not mandatory** for the certificate. You only need to **pass the Capstone project** to get the certificate. Homework points only affect your **leaderboard rank**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""early homework certificate eligibility miss early homework""}'}]",0.00112575,9f689c185f
Why does this homework keep changing every time I check it?,"If the homework title contains **`[DRAFT]`**, it means the homework is **not ready yet** and the content can still change.

It’s only considered final when:

- the homework form is open on the course management platform, and
- the homework title **does not** contain `[DRAFT]`.

Until then, changes are expected, so working on it early is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""homework keeps changing every time I check it""}'}]",0.00142575,96286b4be4
What does [DRAFT] in the homework title mean?,"`[DRAFT]` in the homework title means the homework is **not ready yet**.

It’s considered ready only when:

- the homework form is open on the course platform, and
- the title no longer contains `[DRAFT]`.

Until then, the homework content may still change, so working on it early is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""[DRAFT] homework title mean""}'}]",0.0013170,96286b4be4
How can I tell if the homework is actually ready and final?,"The homework is ready only when **both** of these are true:

- The homework form is open on the course management platform.
- The homework title does **not** contain **`[DRAFT]`**.

If the title still has `[DRAFT]`, it’s not final yet, and the content can still change. Working on it early is at your own risk because the final version may differ.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""homework ready final submission ready final how can I tell if homework is actually ready and final""}'}]",0.0014595,96286b4be4
Can I start doing the assignment before the homework form is open?,"Yes — you can start working on it in advance, but it’s **at your own risk** because the homework may still change until it’s officially ready.

The homework is considered ready only when:
- the **homework form is open**, and
- the homework title does **not** contain **`[DRAFT]`**.

So if it’s still closed or marked draft, you can still start, but the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""assignment before homework form is open start doing assignment homework form open""}'}]",0.00127575,96286b4be4
"Is it safe to work on draft homework, or can the questions still change later?","Yes — if the homework title contains **`[DRAFT]`**, it is **not ready yet**, and the questions can still change.

The homework is only considered ready when:

- the homework form is open on the course management platform, and
- the title **does not** contain **`[DRAFT]`**

Until then, you can work on it, but it’s **at your own risk** because the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""draft homework questions can still change later safe to work on draft homework""}'}]",0.00139125,96286b4be4
When is the next time this course will be offered?,The course will next be offered in **Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""next time course will be offered when offered next offering schedule""}'}]",0.0007890,bd31146b0e
Do you know when llm-zoomcamp is scheduled again?,The FAQ says the next LLM Zoomcamp will be offered in **summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""llm-zoomcamp scheduled again date next cohort when is it offered""}'}]",0.000825,bd31146b0e
Is there a date for the next course run?,Yes — the FAQ says the next course run is **Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""next course run date""}'}]",0.00099975,bd31146b0e
When can I expect this course to open next?,The course is scheduled to be offered next in **Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""When can I expect this course to open next?""}'}]",0.00105675,bd31146b0e
What’s the next offering of the course?,The next offering of the course is **Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""next offering of the course upcoming offering schedule next class next start date""}'}]",0.00111525,bd31146b0e
Where can I find the course lectures or videos for LLM Zoomcamp?,"You can find the LLM Zoomcamp lectures/videos in the main GitHub repo:

- **LLM Zoomcamp GitHub repository:** https://github.com/DataTalksClub/llm-zoomcamp

Open the **lesson folders** there — each lesson page has the relevant videos linked at the top. The repo is the best place to start because it’s kept updated more reliably than the YouTube playlist.

","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': '{""query"":""LLM Zoomcamp lectures videos where can I find course lectures videos""}'}]",0.00129075,31456f4b5f
Is there a main page or repo I should start from to access the lesson videos?,"Yes — start with the **LLM Zoomcamp GitHub repository**:  
https://github.com/DataTalksClub/llm-zoomcamp

That’s the main entry point. Each lesson folder in the repo has the relevant videos linked at the top, and the repo is usually the most up-to-date source. If you want, I can also point you to the course docs page.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': '{""query"":""main page repo access lesson videos start from""}'}]",0.0013125,31456f4b5f
I’m looking for the videos for each lesson — where are they linked?,"The lesson videos are linked at the top of each lesson page in the **LLM Zoomcamp GitHub repository**.

Use the repo as the main entry point:
- https://github.com/DataTalksClub/llm-zoomcamp

Then open the relevant lesson folder/page — the videos for that lesson are linked near the top.  
If you’re unsure, start from the GitHub repo rather than the YouTube playlist, since the repo is kept more up to date.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': '{""query"":""videos for each lesson where are they linked lesson videos linked""}'}]",0.00141675,31456f4b5f
Should I use the GitHub repo or the YouTube playlist to find the course videos?,"Use the **GitHub repo as the main entry point**.

The FAQ says to open the lesson folders in the **LLM Zoomcamp GitHub repository**, since each lesson page has the relevant videos linked at the top. It also notes that if you’re unsure, **follow the GitHub repo first**, because it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': '{""query"":""GitHub repo YouTube playlist course videos where to find videos FAQ""}'}]",0.0013065,31456f4b5f
What’s the easiest way to get to the lectures without missing updates?,"The easiest way is to use the **LLM Zoomcamp GitHub repository** as the main entry point. Open the lesson folders there, and each lesson page has the relevant videos linked at the top.

If you want the most up-to-date source, **follow the GitHub repo first** rather than relying on the YouTube playlist, since the repo is easier to keep updated.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': '{""query"":""easiest way to get to the lectures without missing updates""}'}]",0.0013020,31456f4b5f
