question,answer_llm,answer_orig,document
How do students join the Office Hours or live workshop sessions if the Zoom link isn’t public?,"Students join via **YouTube Live**, not the public Zoom link. The Zoom link is only for instructors/presenters/TAs.

They can:
- watch on the **DataTalksClub YouTube channel**
- use the **video URL posted in the announcements channel on Telegram and Slack** before the session starts
- submit questions through **Slido** (the link is pinned in chat when live)

Don’t post questions in the chat, since they may be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where can I find the live stream link for office hours before the session starts?,The live stream link is posted in the announcements channel on Telegram and Slack before the session starts. You can also watch it live on the DataTalksClub YouTube Channel.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Can I watch the workshop live on YouTube instead of Zoom, and where should I ask questions?","Yes — you can watch the workshop live on the DataTalksClub YouTube channel instead of Zoom.

For questions, don’t post them in the chat. Submit them via Slido, and the Slido link is pinned in the chat when the session is live.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Why don’t students get the Zoom link for live sessions, and what’s the recommended way to submit questions?","Students don’t get the Zoom link because it’s only published to instructors, presenters, and TAs.

For live sessions, students should join via YouTube Live and submit questions in Slido (the link is pinned in the chat during the session). Don’t post questions in the chat, since they may be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Is the office hours video posted somewhere in Telegram or Slack before it begins?,Yes — the video URL should be posted in the announcements channel on Telegram and Slack before it begins.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
What’s the best way to begin LLM Zoomcamp and what should I read first?,"The best way to begin is to start with these three resources:

1. the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/)
2. the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/)
3. the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp)

A typical workflow is:

- watch the lesson videos
- work through the lesson notebooks/code
- read the homework instructions on GitHub
- submit answers through the course platform before the deadline

You can start whenever you want since the videos and GitHub materials are available already.

","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"If I’m starting late, can I still join the course and follow along at my own pace?","Yes, you can join even if you’re starting late. The course materials and videos are available, so you can follow along at your own pace.

However, if you want a certificate, you need to complete the course with the live cohort, not in self-paced mode.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"What does a normal weekly routine look like for this course — videos, notebooks, homework, then submission?","A normal weekly workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit your answers on the course platform before the deadline.

So yes: videos, then notebooks/code, then homework, then submission.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
Where do I find the deadlines and homework submission link for LLM Zoomcamp?,"The deadlines are listed in the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

For homework, the links/instructions are in the course GitHub repo and also on the course platform. For example, Module 1 homework is here:

- [Module 1 homework instructions](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/cohorts/2026/01-agentic-rag/homework.md)

You should submit your homework answers through the course platform before the deadline.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Are the homework tasks the same as the lesson exercises, or do they use different data/tasks?","The homework usually follows the lesson workflow, but uses a different dataset or asks you to apply the same idea in a slightly different way.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
How do I find my own entry on the leaderboard if I can’t spot my name?,"Click the **“Jump to your record on the leaderboard”** link. Your account is automatically assigned a random display name, so that link will take you directly to your entry.

If you want to see or change the name shown publicly, use **“Edit Course Profile.”**","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Why am I listed under a random name on the leaderboard, and can I change it?","You’re listed under a random nickname because the leaderboard uses an automatically assigned **display name** for privacy, like “Lucid Elbakyan.”

Yes, you can change it:

- Click **Edit Course Profile**
- **First field**: change your public nickname/display name for the leaderboard
- **Second field**: set your official name for your certificate

If you want, I can also explain which name is public and which one appears on the certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where do I check what display name the course is using for me?,Click **“Edit Course Profile”** and check the **first field** — that is your **display name / nickname** used on the leaderboard.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What’s the difference between the nickname and the official name in the course profile?,"The **nickname/display name** is the name shown publicly on the **leaderboard**. It can be a nickname or username and is anonymous by default.

The **official name** is the name printed on your **certificate**. It should match your identification documents.

So:
- **First field:** public nickname / leaderboard name
- **Second field:** official name / certificate name","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
How do I make sure my certificate shows my real name instead of the default one?,Go to **Edit Course Profile** and set the **second field** to your official real name. That name is what will appear on your certificate. The first field is just your public nickname for the leaderboard.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I do the course on my own time and still get a certificate at the end?,"No. You can follow the course in self-paced mode, but you won’t get a certificate that way. Certificates are only awarded if you finish with a live cohort, since you also need to peer-review 3 capstone projects while the course is running.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Is there any way to get a certificate if I’m not joining a live cohort?,"No. You can only get a certificate if you finish the course with a live cohort. Self-paced mode does not offer certificates because the certificate requires peer-reviewing 3 capstones, which is only possible while the course is running.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Why don’t you give certificates for the self-paced version of the course?,"We don't award certificates for the self-paced mode because you need to peer-review 3 capstones after submitting your project, and that peer-review step is only available while a live cohort is running. After the form closes and the peer-review list is compiled, you can’t complete that requirement.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Do I need to participate while the course is running in order to qualify for the certificate?,"Yes. To qualify for the certificate, you need to finish the course with a live cohort, which means participating while the course is running. The self-paced mode does not qualify for a certificate because you need to peer-review capstones while the course is active.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"Is peer review required for the certificate, and can I do it after the course ends?","Yes. Peer review is required to get the certificate, because you need to review 3 capstone projects yourself.

No, you can’t do it after the course ends. Peer reviewing is only possible while the course is running, before the form closes and the peer-review list is compiled.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Do I still get the certificate if I skipped the first homework?,"Yes. Skipping the first homework does not prevent you from getting the certificate. You only need to pass the Capstone project; homework is optional, though recommended and it affects your leaderboard rank.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Is the capstone project the only thing I need to pass for the certificate?,"No. You also need to complete the course in a live cohort and peer-review 3 capstone projects. Homework is not mandatory, but passing the capstone alone is not enough for the certificate.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Are homework assignments required to finish the course and get certified?,"No. Homework assignments are not required to finish the course or get certified. You need to pass the Capstone project to get the certificate, though homework is recommended and counts toward the leaderboard.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"If homework is optional, does it still matter for anything in the course?",I don't know.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Can I miss the early homework and still be eligible for the certificate?,"Yes. Missing early homework does not affect certificate eligibility. You only need to pass the Capstone project to get the certificate. Homework is optional, though recommended.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Why does this homework keep changing every time I check it?,"If the homework title contains `[DRAFT]`, it’s not ready yet, so the content can still change. It becomes stable only when:

- the homework form is open on the course management platform, and
- the title does **not** contain `[DRAFT]`.

Until then, any work you do in advance is at your own risk because the final version may differ.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
What does [DRAFT] in the homework title mean?,It means the homework is not ready yet. The content can still change until the homework form is open and the title no longer contains `[DRAFT]`.,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
How can I tell if the homework is actually ready and final?,"The homework is ready only when **both** of these are true:

- The homework form is **open** on the course management platform.
- The homework title **does not contain** `[DRAFT]`.

If either of those is not true, the content can still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Can I start doing the assignment before the homework form is open?,"Yes — you can start learning and working through the material anytime, even before the homework form is open.

However, the homework is considered fully ready only when:
- the homework form is open, and
- the homework title does **not** contain `[DRAFT]`.

Until then, the content may still change, so working ahead is possible but at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
"Is it safe to work on draft homework, or can the questions still change later?","Yes, it’s at your own risk. If the homework title contains `[DRAFT]`, the homework is not ready yet, and the content can still change until:

- the homework form is open on the course management platform, and
- the title no longer contains `[DRAFT]`.

So draft homework questions may still change later.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is the next time this course will be offered?,Summer 2027.,Summer 2027.,bd31146b0e
Do you know when llm-zoomcamp is scheduled again?,I don't know.,Summer 2027.,bd31146b0e
Is there a date for the next course run?,Summer 2027.,Summer 2027.,bd31146b0e
When can I expect this course to open next?,Summer 2027.,Summer 2027.,bd31146b0e
What’s the next offering of the course?,Summer 2027.,Summer 2027.,bd31146b0e
Where can I find the course lectures or videos for LLM Zoomcamp?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point:  
https://github.com/DataTalksClub/llm-zoomcamp

Open the **lesson folders** there — each lesson page has the relevant **videos linked at the top**. If you’re unsure, follow the GitHub repo first since it’s usually kept more up to date than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Is there a main page or repo I should start from to access the lesson videos?,"Yes — use the **LLM Zoomcamp GitHub repository** as the main entry point:

https://github.com/DataTalksClub/llm-zoomcamp

Open the lesson folders there; each lesson page has the relevant videos linked at the top. If you're unsure, follow the GitHub repo first since it's easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
I’m looking for the videos for each lesson — where are they linked?,"The videos for each lesson are linked at the top of each lesson page in the **LLM Zoomcamp GitHub repository**:

https://github.com/DataTalksClub/llm-zoomcamp

Open the relevant lesson folder there, and you’ll find the lesson page with the video links near the top.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Should I use the GitHub repo or the YouTube playlist to find the course videos?,"Use the **GitHub repo first**. The LLM Zoomcamp GitHub repository is the main entry point, and each lesson page there has the relevant videos linked at the top. It’s also easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
What’s the easiest way to get to the lectures without missing updates?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point. Open the lesson folders there; each lesson page has the relevant videos linked at the top. It’s easier to keep updated than the YouTube playlist, so you’re less likely to miss updates.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"Where should I check the LLM Zoomcamp syllabus, homework deadlines, and my progress for the current cohort?","Check the **LLM Zoomcamp course management platform**: https://courses.datatalks.club/llm-zoomcamp-2026/

It includes the current cohort structure, homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is there one place to follow the course structure and keep track of assignments in LLM Zoomcamp?,"Yes — use the **LLM Zoomcamp course management platform** to follow the course structure, deadlines, homework, and progress:

https://courses.datatalks.club/llm-zoomcamp-2026/

It’s the main place to track assignments and course progress.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"What website do we use for LLM Zoomcamp to see deadlines, homework, and cohort progress?",Use the **LLM Zoomcamp course management platform**: https://courses.datatalks.club/llm-zoomcamp-2026/,"Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
How can I monitor my progress and find the current homework schedule for this zoomcamp?,"You can monitor your progress and see the current homework schedule in the **LLM Zoomcamp course management platform**:

- https://courses.datatalks.club/llm-zoomcamp-2026/

It includes the current cohort structure, homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Where is the official course platform for tracking the syllabus and deadlines in LLM Zoomcamp?,"The official course platform is the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Do we get live classes or office hours for every module in LLM Zoomcamp?,"No. There are no separate live sessions or office hours for every module by default. The module materials are pre-recorded and available in the course repo.

If live sessions happen, they’re announced separately. For help, ask in Slack and follow the question guidelines. Optional paid support with regular Zoom office hours is available through AI Shipping Labs.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"Are the module lessons recorded, or are there separate live sessions for each one?",Module materials are pre-recorded and available in the course repo. There are no separate live sessions for every module by default. Live sessions happen separately when announced.,"There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"If I get stuck on a module, where should I ask for help in the course?","Ask in Slack. If possible, include the code or command output as text, not a screenshot, and follow the course’s asking questions guidelines.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
Is there any extra paid option with Zoom office hours for this course?,"Yes. There is an optional paid extra support option called **AI Shipping Labs**, which includes **regular Zoom office hours** and additional structure. The main course content remains free.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
